Дата,Категория,Служба,Ранг,Имя,Год,Name,,,,
1/8/2022,Святой ,,Прп.,"Григория, чудотворца, Печерского, в Ближних пещерах.",1093,"Gregory, wonderworker of the Kiev Caves.",,,,
1/8/2022,Святой ,,Прп.,"Григория, затворника Печерского, в Дальних пещерах.",XII-XIV,"Gregory, recluse of the Kiev Caves.",,,,
1/8/2022,Святой ,,Сщмч.,"Исидора пресвитера и с ним 72-х, в Юрьеве Лифляндском пострадавших.",1472,"Isidore and 72 companions at Yuriev (Dorpats) in Estonia, slain.",,,,
1/8/2022,Святой ,,Прп.,Паисия Угличского.,1504,Paisius of Uglich.,,,,
1/8/2022,Святой ,,Сщмч.,"Картерия, пресвитера Кесарии Каппадокийской.",304,Carterius of Caesarea in Cappadocia.,,,,
1/8/2022,Святой ,,Мчч.,Феофила диакона и Елладия.,IV,Theophilus the Deacon and Helladius.,,,,
1/8/2022,Святой ,,Мчч.,"Иулиана, Келсия, Антония, Анастасия, мцц. Василиссы и Мариониллы, семи отроков и 20-ти воинов.",313,"Julian and his wife Basilissa, and with them Marcionilla and her son Celsus, Anthony, Anastasius, seven children, and twenty soldiers.",,,,
1/8/2022,Святой ,,Прп.,Илии Египетского.,IV,Elias the Hermit of Egypt.,,,,
1/8/2022,Святой ,,Мч.,Або Тбилисского (Груз.),786,Abo of Tbilisi (Georgia).,,,,
1/8/2022,Святой ,,Сщмч.,Виктора Усова пресвитера.,1937,Victor priest,,,,
1/8/2022,Святой ,,0,"Сщмчч. Димитрия Плышевского, Владимира Пастернацкого пресвитеров, прмч. Пафнутия Костина, мч. Михаила Новоселова",1938,"Hieromartyrs Demetrius, Vladimir priests, Paphnutius, Martyr Michael.",,,,
1/8/2022,Святой ,,Сщмч.,Василия Архангельского пресвитера.,1939,Basil priest.,,,,
1/8/2022,Святой ,,Мч.,Иоанна Малышева.,1940,John.,,,,
1/8/2022,Святой ,,Св.,"Михаила Розова исп., пресвитера.",1941,"Michael confessor, priest.",,,,
1/9/2022,Святой ,,Мч.,Полиевкта.,259,Polyeuctus.,,,,
1/9/2022,Святой ,,Свт.,"Филиппа, митр. Московского и всея России, чудотворца.",1569,"Philip, metropolitan of Moscow and all Russia, wonderworker.",,,,
1/9/2022,Святой ,,Прп.,"Ионы, в схиме Петра, Киевского, чудотворца.",1902,"Jonah, Peter in schema, of Kiev, wonderworker.",,,,
1/9/2022,Святой ,,Прор.,Самея.,X в. До Р.Х.,"Shemaiah (Samaia, Semeias).",,,,
1/9/2022,Святой ,,Свт.,"Петра, еп. Севастии Армянской.",IV,"Peter, bishop of Sebaste in Armenia.",,,,
1/9/2022,Святой ,,Прп.,Евстратия чудотворца.,IX,Eustratius the wonderworker.,,,,
1/9/2022,Святой ,,Прп.,Пахомия Кенского (переходящее празднование в субботу по Богоявлении).,XVI,Pachomius of Kensk (16th c.) (movable feast on the Saturday after the Theophany).,,,,
1/9/2022,Святой ,,Сщмч.,Павла Никольского пресвитера.,1943,Paul priest.,,,,
1/10/2022,Святой ,,Свт.,"Григория, еп. Нисского.",после 394,Gregory of Nyssa.,,,,
1/10/2022,Святой ,,Прп.,"Дометиана, еп. Мелитинского.",601,"Dometian, bishop of Melitene.",,,,
1/10/2022,Святой ,,Прп.,Маркиана пресвитера.,V,"Marcian, presbyter.",,,,
1/10/2022,Святой ,,Прп.,Павла Комельского (Обнорского).,1429,"Paul, abbot of Obnora (Vologda)",,,,
1/10/2022,Святой ,,Прп.,Антипы Валаамского (Афонского).,1882,Antipas of Valaam (of Athos),,,,
1/10/2022,Святой ,,Свт.,"Феофана, Затворника Вышенского.",1894,Theophan the Recluse.,,,,
1/10/2022,Святой ,,Прп.,Макария Писемского.,XIV,Macarius of Pisemsk.,,,,
1/10/2022,Святой ,,Блж.,"Феозвы диакониссы, сестры свт. Григория Нисского.",385,"Theosebia the Deaconess, sister of St. Gregory of Nyssa.",,,,
1/10/2022,Святой ,,Сщмч.,Зиновия Сутормина пресвитера.,1920,Zenobius priest.,,,,
1/10/2022,Святой ,,Сщмч.,Петра Успенского пресвитера.,1930,Peter priest .,,,,
1/10/2022,Святой ,,Сщмч.,"Анатолия, митр. Одесского.",1938,"Anatoliy, metropolitan of Odessa.",,,,
1/11/2022,Святой ,,Прп.,"Феодосия Великого, общих житий начальника.",529,"Theodosius the Great, the Cenobiarch.",,,,
1/11/2022,Святой ,,Прп.,"Михаила Клопского, Новгородского.",ок. 1453-1456,"Michael of Klops Monastery, Novgorod.",,,,
1/11/2022,Святой ,,Прп.,Феодосия Антиохийского.,ок. 412,Theodosius of Antioch.,,,,
1/11/2022,Святой ,,Сщмчч.,"Николая Мациевского, Феодора Антипина и Владимира Фокина пресвитеров.",1919,"Nicholas, Theodore and Vladimir priests.",,,,
1/11/2022,Святой ,,Св.,"Владимира Хираско исп., пресвитера.",1932,"Vladimir confessor, priest.",,,,
1/11/2022,Икона,,0,Елецкой иконы Божией Матери.,1060,"""Eletskaya"" Icon of Mother of God",,,,
1/12/2022,Святой ,,Мц.,Татианы и с нею в Риме пострадавших.,226-235,Tatiana and others martyred with her at Rome.,,,,
1/12/2022,Святой ,,Свт.,"Саввы, первого архиеп. Сербского.",1237,"Savva, first archbishop of Serbia.",,,,
1/12/2022,Святой ,,Прп.,Мартиниана Белоезерского.,1483,Martinian of White Lak,,,,
1/12/2022,Святой ,,Мч.,Мертия.,284-305,Mertius.,,,,
1/12/2022,Святой ,,Мч.,Петра Авессаломита (Анийского).,309-310,Peter Apselamus (of Anium).,,,,
1/12/2022,Святой ,,Прп.,Евпраксии Тавенской.,393,Eupraxia of Tabenna.,,,,
1/12/2022,Икона,,0,"Икон Божией Матери, именуемых «Акафистная» и «Млекопитательница».",0,"Icons of the Mother of God ""Akathist"" and ""The Milk-giver"".",,,,
1/13/2022,Святой ,,Мчч.,Ермила и Стратоника.,ок. 315,Hermylus and Stratonicus.,,,,
1/13/2022,Святой ,,Прп.,"Иринарха, затворника Ростовского.",1616,"Irinarch, recluse of Rostov.",,,,
1/13/2022,Святой ,,Прп.,Елеазара Анзерского.,1656,Eleazar of Anzersk.,,,,
